,time,rank,artist,song,sales
1545,04/02/2017 08:37,4,The Chainsmokers & Coldplay,Something Just Like This,11588
1546,04/02/2017 09:07,4,The Chainsmokers & Coldplay,Something Just Like This,12213
1547,04/02/2017 09:37,4,The Chainsmokers & Coldplay,Something Just Like This,12174
1548,04/02/2017 10:07,4,The Chainsmokers & Coldplay,Something Just Like This,12135
1549,04/02/2017 10:37,4,The Chainsmokers & Coldplay,Something Just Like This,11414
1550,04/02/2017 11:07,4,The Chainsmokers & Coldplay,Something Just Like This,11377
1551,04/02/2017 11:37,4,The Chainsmokers & Coldplay,Something Just Like This,11339
1552,04/02/2017 12:07,4,The Chainsmokers & Coldplay,Something Just Like This,11302
1553,04/02/2017 12:37,4,The Chainsmokers & Coldplay,Something Just Like This,11631
1554,04/02/2017 14:46,4,The Chainsmokers & Coldplay,Something Just Like This,11302
1555,04/02/2017 15:16,4,The Chainsmokers & Coldplay,Something Just Like This,11275
1556,04/02/2017 15:46,4,The Chainsmokers & Coldplay,Something Just Like This,11314
1557,04/02/2017 16:16,4,The Chainsmokers & Coldplay,Something Just Like This,11278
1558,04/02/2017 16:46,4,The Chainsmokers & Coldplay,Something Just Like This,11475
1559,04/02/2017 17:16,4,The Chainsmokers & Coldplay,Something Just Like This,11439
1560,04/02/2017 17:46,4,The Chainsmokers & Coldplay,Something Just Like This,12128
1561,04/02/2017 18:16,4,The Chainsmokers & Coldplay,Something Just Like This,14926
1562,04/02/2017 18:47,4,The Chainsmokers & Coldplay,Something Just Like This,14881
1563,04/02/2017 19:17,4,The Chainsmokers & Coldplay,Something Just Like This,14836
1564,04/02/2017 19:47,4,The Chainsmokers & Coldplay,Something Just Like This,14792
1565,04/02/2017 20:17,6,The Chainsmokers & Coldplay,Something Just Like This,9886
1566,04/02/2017 20:47,6,The Chainsmokers & Coldplay,Something Just Like This,9858
1567,04/02/2017 21:17,6,The Chainsmokers & Coldplay,Something Just Like This,10078
1568,04/02/2017 21:47,6,The Chainsmokers & Coldplay,Something Just Like This,10050
1569,04/02/2017 22:38,9,The Chainsmokers & Coldplay,Something Just Like This,8573
1570,04/02/2017 23:08,9,The Chainsmokers & Coldplay,Something Just Like This,8551
1571,04/02/2017 23:38,9,The Chainsmokers & Coldplay,Something Just Like This,8529
1572,04/03/2017 00:08,9,The Chainsmokers & Coldplay,Something Just Like This,8507
1573,04/03/2017 00:38,9,The Chainsmokers & Coldplay,Something Just Like This,8486
1574,04/03/2017 01:08,9,The Chainsmokers & Coldplay,Something Just Like This,8466
1575,04/03/2017 01:38,9,The Chainsmokers & Coldplay,Something Just Like This,8446
1576,04/03/2017 02:08,10,The Chainsmokers & Coldplay,Something Just Like This,8517
1577,04/03/2017 02:38,10,The Chainsmokers & Coldplay,Something Just Like This,8498
1578,04/03/2017 03:08,10,The Chainsmokers & Coldplay,Something Just Like This,8479
1579,04/03/2017 03:38,10,The Chainsmokers & Coldplay,Something Just Like This,8584
1580,04/03/2017 04:08,10,The Chainsmokers & Coldplay,Something Just Like This,8566
